distance,delta
0.101161,0.00821355
0.0644833,-0.00198325
0.191368,-0.0116802
0.144012,-0.0111998
0.026852,0.0122105
0.305384,-0.000696033
0.138951,-0.00613831
0.0350083,0.00405417
0.202342,-0.0148417
0.621275,0.00372488
0.338876,-0.0185636
0.169163,-0.00510042
0.285711,-0.0200861
0.239134,-0.012572
0.102355,-0.000792927
0.190892,-0.00339201
0.340641,-0.0125161
0.423253,0.00643417
0.219454,-0.0163289
0.211925,0.0068248
0.108465,-0.0147155
0.452127,-0.0146269
0.252268,-0.0100803
0.123012,0.0176128
0.208591,0.0101591
0.0668186,0.0113064
0.400764,-0.00232684
0.113948,0.00323962
0.15326,0.0108025
0.283032,-0.00178171
0.315967,-0.0190921
0.195262,5.00737e-05
0.451988,-0.0144881
0.0749518,-0.0124518
0.121852,0.00314823
0.395911,0.0103388
0.232931,0.00144402
0.281183,-0.00774523
0.383904,0.00281494
0.132073,-0.00707294
0.150584,-0.0177712
0.429719,-3.11817e-05
0.188429,-0.00874119
0.20139,0.00173493
0.221419,0.0129561
0.654161,-0.0213482
0.378411,0.0044017
0.192239,0.0108858
0.157222,-0.00878495
0.491043,-0.0222932
0.170105,-0.00604201
0.146872,0.00156584
0.365014,0.0099857
0.430117,-0.0121481
0.75725,-0.00725017
0.196917,0.00620842
0.233254,-0.0105981
0.0495301,-0.0104676
0.306752,-0.00206496
0.251965,0.00584772
0.475548,0.00101495
0.25758,-0.0114866
0.192577,0.0105482
0.408802,0.00526045
0.137484,0.0031411
0.43532,-0.0134448
0.369198,-0.00201053
0.33103,-0.00290513
0.0372853,0.00568349
0.135264,0.00536103
0.141146,-0.004427
0.135349,-0.00253636
0.892894,-0.0178941
0.519546,-1.52053e-05
0.318963,0.0013499
0.197168,-0.0174805
0.171531,-0.00746834
0.296812,0.0078751
0.303253,0.0170597
0.422924,-0.0166738
0.266856,0.0222062
0.106771,0.0104161
0.324236,0.00388858
0.201548,-0.00623513
0.07666,0.00927748
0.190551,0.00476161
0.718684,-0.00774628
0.243959,0.0138537
0.00888285,-0.00107035
0.497531,-0.00143765
0.0258112,-0.00237369
0.0195862,-0.00396119
0.101479,8.30534e-05
0.500056,-5.64538e-05
0.21794,-0.0148151
0.225105,-0.00635545
0.305207,-0.00833163
0.27214,-0.00651547
0.18396,-0.000366443
0.43025,0.00724989
0.337667,0.00217628
0.144436,-0.00381096
0.105367,0.00400797
0.466724,-0.0057869
0.348981,-0.00523123
0.28474,-0.0113021
0.456861,-0.0115482
0.2515,-0.00149993
0.617889,-0.00070143
0.533544,-0.00229384
0.101814,0.023186
0.734565,-0.00800295
0.159711,-0.00346124
0.236496,0.00569179
0.522221,-0.00659603
0.206818,0.0275566
0.616637,-0.022887
0.337802,0.00594816
0.0953665,-0.00942902
0.616751,-0.0230013
0.267445,-0.00181958
0.431148,-0.00927269
0.166638,-0.00257553
0.496698,-0.0279478
0.202353,-0.00704066
0.189391,0.00592139
0.337097,-0.00115939
0.208777,0.00606638
0.301472,0.00321506
0.054361,0.000326503
0.223344,-0.00459359
0.349586,0.00978852
0.330854,-0.0105417
0.243753,-0.00937834
0.302321,-0.0054459
0.25751,0.0159273
0.151482,0.00476768
0.808065,-0.0111897
0.518449,-0.0262618
0.329612,-0.0092994
0.145741,0.0183211
0.222158,0.00440483
0.0850488,0.000888714
0.114895,0.0101049
0.417492,-0.011242
0.628523,-0.00352347
0.156619,0.00744316
0.0831077,0.00282984
0.118218,0.0067815
0.590705,-0.00476748
0.101268,-0.00751762
0.307276,-0.0104007
0.587094,-0.00896945
0.29448,0.00239456
0.157385,-0.00113503
0.143271,-0.0182706
0.246745,-0.0045576
0.276295,0.00495456
0.187306,0.00019352
0.140781,0.00765662
0.403907,0.00234286
0.165985,-0.00192237
0.0705021,0.00762294
0.304687,-0.0195312
0.117441,-0.000253884
0.262206,-0.000487168
0.126274,0.00653873
0.546411,-0.00734873
0.381936,-0.014749
0.114236,-0.00486071
0.327873,0.000252446
0.211231,-0.00810637
0.504842,-0.0126545
0.174138,-0.0100759
0.14213,-0.00150503
0.402961,-0.0123361
0.338536,-0.00259884
0.190515,-0.00301532
0.224773,0.00960177
0.31513,-0.0104429
0.476629,-6.6054e-05
0.316916,0.00339699
0.266257,0.00327446
0.540128,-0.00106538
0.0835585,0.00237901
0.507303,-0.00730349
0.175128,0.00455946
0.129492,-0.0123047
0.201015,0.00210963
0.271138,-0.00551286
0.150678,-0.0100534
0.136701,0.00392382
0.121873,-0.00468543
0.734261,-0.00379272
0.344222,-0.00828401
0.1446,0.0116497
0.333645,0.00229211
0.435117,0.0101952
0.654325,-0.00588725
0.794743,0.00213156
0.304341,0.000346708
0.305041,-0.0316033
0.133724,-0.000911862
0.737767,-0.0033916
0.161632,0.00243045
0.370716,-0.00352823
0.0666654,0.00364706
0.355221,0.0158724
0.331042,-0.00291676
0.704484,-0.00917191
0.335719,-0.00759448
0.161893,0.00216921
0.681891,-0.00610997
0.155514,0.000735554
0.179341,0.000346523
0.151529,0.00472138
0.150492,-0.00986702
0.294577,0.0101108
0.205762,-0.00263671
0.0183414,0.0207211
0.369214,-0.00202655
0.216905,-0.0137804
0.196669,-0.00916879
0.309495,-0.00480752
0.106905,-0.0131547
0.0641148,-0.00942728
0.952826,0.000298648
0.720838,-0.00208754
0.411293,-0.00504337
0.0766037,0.00152127
0.279039,0.0178356
0.182804,-0.0109286
0.103641,0.00573415
0.20776,-0.00463532
0.146403,0.0176597
0.0988329,0.0183546
0.149147,-0.00852241
0.152062,0.0120008
0.316863,0.0112619
0.0722789,0.00584612
0.453645,-0.00833279
0.139305,0.00132022
0.223845,-0.0129073
0.609234,0.0118601
0.2916,-0.0103504
0.21651,-0.00557218
0.102035,-0.000472893
0.0116615,-0.0116615
0.105868,-0.0121179
0.246224,-0.0118487
0.150916,-0.0141976
0.141858,-0.0012329
0.0803764,0.0133736
0.419589,-0.0133386
0.234086,0.000289485
0.728873,-0.00231067
0.190892,-0.00339201
0.251106,-0.016731
0.33351,-0.00538498
0.090568,0.00318204
0.158164,0.00589861
0.334303,0.00944734
0.217784,0.000966003
0.271484,-0.00585903
0.286208,0.0106674
0.346622,-0.00287203
0.212853,0.0215221
0.245885,0.000208394
0.251483,-0.00148259
0.0949762,-0.00122619
0.163868,0.000194029
0.385668,-0.0184802
0.150232,0.0138302
0.401173,-0.00273544
0.123453,0.00154685
0.250838,-0.0086504
0.0598208,0.00267916
0.194393,-0.0147054
0.214425,-0.00348706
0.247239,-0.0128643
0.426612,-0.00473717
0.0539437,0.000743786
0.351937,-0.00818718
0.323549,-0.0110492
0.352676,-0.00892593
0.33645,-0.016137
0.0436999,-0.00463743
0.261167,-0.0111668
0.322128,0.00599712
0.288575,0.00048735
0.340275,-0.0199628
0.312387,0.000112966
0.149322,-0.0243219
0.297499,0.00718811
0.290519,-0.00145679
0.327043,0.0167069
0.33876,-0.00282229
0.229638,0.00864365
0.280357,-0.0147317
0.180478,0.0031159
0.268657,-0.0108441
0.0357649,0.0111101
0.588945,-0.0264452
0.124519,0.00829323
0.355359,-0.00379699
0.537252,0.00181041
0.132409,0.00430926
0.0893551,0.0122074
0.272929,-0.00730361
0.019056,-0.00343103
0.107692,0.00949563
0.198743,0.00438153
0.197751,-0.00243858
0.231797,-0.0052344
0.235048,-0.0162982
0.359659,-0.00809611
0.369977,0.00502273
0.0756384,-0.0131384
